,date,datatype,station,attributes,value
0,2013-01-01T00:00:00,AWND,GHCND:USW00094728,",,X,",3.1
1,2013-01-01T00:00:00,PRCP,GHCND:USW00094728,",,X,2400",0.0
2,2013-01-01T00:00:00,SNOW,GHCND:USW00094728,",,X,",0.0
3,2013-01-01T00:00:00,SNWD,GHCND:USW00094728,",,X,",0.0
4,2013-01-01T00:00:00,TMAX,GHCND:USW00094728,",,X,2400",4.4
5,2013-01-01T00:00:00,TMIN,GHCND:USW00094728,",,X,2400",-3.3
6,2013-01-01T00:00:00,WDF2,GHCND:USW00094728,",,X,",310.0
7,2013-01-01T00:00:00,WDF5,GHCND:USW00094728,",,X,",300.0
8,2013-01-01T00:00:00,WSF2,GHCND:USW00094728,",,X,",6.7
9,2013-01-01T00:00:00,WSF5,GHCND:USW00094728,",,X,",11.6
10,2013-01-02T00:00:00,AWND,GHCND:USW00094728,",,X,",2.6
11,2013-01-02T00:00:00,PRCP,GHCND:USW00094728,",,X,2400",0.0
12,2013-01-02T00:00:00,SNOW,GHCND:USW00094728,",,X,",0.0
13,2013-01-02T00:00:00,SNWD,GHCND:USW00094728,",,X,",0.0
14,2013-01-02T00:00:00,TMAX,GHCND:USW00094728,",,X,2400",0.6
15,2013-01-02T00:00:00,TMIN,GHCND:USW00094728,",,X,2400",-5.6
16,2013-01-02T00:00:00,WDF2,GHCND:USW00094728,",,X,",310.0
17,2013-01-02T00:00:00,WDF5,GHCND:USW00094728,",,X,",340.0
18,2013-01-02T00:00:00,WSF2,GHCND:USW00094728,",,X,",6.7
19,2013-01-02T00:00:00,WSF5,GHCND:USW00094728,",,X,",9.8
20,2013-01-02T00:00:00,WT08,GHCND:USW00094728,",,X,",1.0
21,2013-01-03T00:00:00,AWND,GHCND:USW00094728,",,X,",2.0
22,2013-01-03T00:00:00,PRCP,GHCND:USW00094728,",,X,2400",0.0
23,2013-01-03T00:00:00,SNOW,GHCND:USW00094728,",,X,",0.0
24,2013-01-03T00:00:00,SNWD,GHCND:USW00094728,",,X,",0.0
25,2013-01-03T00:00:00,TMAX,GHCND:USW00094728,",,X,2400",0.0
26,2013-01-03T00:00:00,TMIN,GHCND:USW00094728,",,X,2400",-4.4
27,2013-01-03T00:00:00,WDF2,GHCND:USW00094728,",,X,",260.0
28,2013-01-03T00:00:00,WDF5,GHCND:USW00094728,",,X,",260.0
29,2013-01-03T00:00:00,WSF2,GHCND:USW00094728,",,X,",5.8
30,2013-01-03T00:00:00,WSF5,GHCND:USW00094728,",,X,",8.9
31,2013-01-04T00:00:00,AWND,GHCND:USW00094728,",,X,",3.6
32,2013-01-04T00:00:00,PRCP,GHCND:USW00094728,",,X,2400",0.0
33,2013-01-04T00:00:00,SNOW,GHCND:USW00094728,",,X,",0.0
34,2013-01-04T00:00:00,SNWD,GHCND:USW00094728,",,X,",0.0
35,2013-01-04T00:00:00,TMAX,GHCND:USW00094728,",,X,2400",2.8
36,2013-01-04T00:00:00,TMIN,GHCND:USW00094728,",,X,2400",-1.1
37,2013-01-04T00:00:00,WDF2,GHCND:USW00094728,",,X,",290.0
38,2013-01-04T00:00:00,WDF5,GHCND:USW00094728,",,X,",250.0
39,2013-01-04T00:00:00,WSF2,GHCND:USW00094728,",,X,",8.0
40,2013-01-04T00:00:00,WSF5,GHCND:USW00094728,",,X,",12.5
41,2013-01-05T00:00:00,AWND,GHCND:USW00094728,",,X,",3.0
42,2013-01-05T00:00:00,PRCP,GHCND:USW00094728,",,X,2400",0.0
43,2013-01-05T00:00:00,SNOW,GHCND:USW00094728,",,X,",0.0
44,2013-01-05T00:00:00,SNWD,GHCND:USW00094728,",,X,",0.0
45,2013-01-05T00:00:00,TMAX,GHCND:USW00094728,",,X,2400",5.6
46,2013-01-05T00:00:00,TMIN,GHCND:USW00094728,",,X,2400",0.0
47,2013-01-05T00:00:00,WDF2,GHCND:USW00094728,",,X,",310.0
48,2013-01-05T00:00:00,WDF5,GHCND:USW00094728,",,X,",310.0
49,2013-01-05T00:00:00,WSF2,GHCND:USW00094728,",,X,",7.6
50,2013-01-05T00:00:00,WSF5,GHCND:USW00094728,",,X,",11.6
51,2013-01-06T00:00:00,AWND,GHCND:USW00094728,",,X,",3.0
