,date,datatype,station,attributes,value
0,2014-01-01T00:00:00,AWND,GHCND:USW00094728,",,W,",2.5
1,2014-01-01T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
2,2014-01-01T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
3,2014-01-01T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
4,2014-01-01T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",0.6
5,2014-01-01T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-4.3
6,2014-01-01T00:00:00,WDF2,GHCND:USW00094728,",,W,",280.0
7,2014-01-01T00:00:00,WDF5,GHCND:USW00094728,",,W,",300.0
8,2014-01-01T00:00:00,WSF2,GHCND:USW00094728,",,W,",6.3
9,2014-01-01T00:00:00,WSF5,GHCND:USW00094728,",,W,",10.3
10,2014-01-02T00:00:00,AWND,GHCND:USW00094728,",,W,",5.5
11,2014-01-02T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",8.4
12,2014-01-02T00:00:00,SNOW,GHCND:USW00094728,",,W,",79.0
13,2014-01-02T00:00:00,SNWD,GHCND:USW00094728,",,W,",0.0
14,2014-01-02T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",0.6
15,2014-01-02T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-7.7
16,2014-01-02T00:00:00,WDF2,GHCND:USW00094728,",,W,",50.0
17,2014-01-02T00:00:00,WDF5,GHCND:USW00094728,",,W,",50.0
18,2014-01-02T00:00:00,WSF2,GHCND:USW00094728,",,W,",9.4
19,2014-01-02T00:00:00,WSF5,GHCND:USW00094728,",,W,",12.5
20,2014-01-03T00:00:00,AWND,GHCND:USW00094728,",,W,",4.7
21,2014-01-03T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",7.4
22,2014-01-03T00:00:00,SNOW,GHCND:USW00094728,",,W,",84.0
23,2014-01-03T00:00:00,SNWD,GHCND:USW00094728,",,W,",150.0
24,2014-01-03T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",-7.7
25,2014-01-03T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-12.7
26,2014-01-03T00:00:00,WDF2,GHCND:USW00094728,",,W,",360.0
27,2014-01-03T00:00:00,WDF5,GHCND:USW00094728,",,W,",310.0
28,2014-01-03T00:00:00,WSF2,GHCND:USW00094728,",,W,",9.4
29,2014-01-03T00:00:00,WSF5,GHCND:USW00094728,",,W,",13.0
30,2014-01-03T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
31,2014-01-04T00:00:00,AWND,GHCND:USW00094728,",,W,",2.2
32,2014-01-04T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
33,2014-01-04T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
